Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@Scan_PCBA_SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
,Fixture,Info,Station_ID,common.station_id,,,5000,,,,,,,
,Fixture,Info,Vendor_ID,common.vendor_id,,,5000,,OSENS,OSENS,,,,
,MES,UOP,@Check_uop,common.check_uop,[[[scanned_sn]]],,5000,,,,,,Y,
,Fixture,Info,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,--PASS--,--PASS--,,,,
,Fixture,RUN_BMT,@GET_BMT_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool (\w+.\w+.\w+-\w+\+\w+)'}",,10000,,4.0.0-1225+ff003d5,4.0.0-1225+ff003d5,,,,

,DUT_POWER_ON,POWER_ON,@DUT_Power_ON,common.powerOn,,,5000,,--PASS--,--PASS--,,,,
,DUT_POWER_ON,MEASURE_CURRENT,@Power on current,common.rpc_call,"{'func':'mixdevice.measureCurrentByOdin', 'args':['charger']}",,5000,,1,8,mA,,,
,VOLT_TEST,RELAY_CONNECT,DMM_VIN1_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['DMM_VIN1_SEL_SW']}",,5000,,--PASS--,--PASS--,,,,
,VOLT_TEST,MUX_SEL_TPF301,@VMUX_OUT_Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF301_VMUX_OUT', 0.2]}",,5000,,4900,5100,mV,,,
,VOLT_TEST,MUX_SEL_TPF312,@VSYS Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF312_VSYS', 0.2]}",,5000,,3900,4300,mV,,,
,VOLT_TEST,MUX_SEL_TPF210,@VBUS Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF210_VBUS', 0.2]}",,5000,,4900,5100,mV,,,
,VOLT_TEST,MUX_SEL_TPF211,@VBUS_CLAMP Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF211_VBUS_CLAMP', 0.2]}",,5000,,4240,4300,mV,,,
,VOLT_TEST,MUX_SEL_TPF212,@VBUS_SENSE Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF212_VBUS_SENSE', 0.2]}",,5000,,1600,1700,mV,,,
,VOLT_TEST,MUX_SEL_TPF403,@VDD_USB Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF403_VDD_USB', 0.2]}",,5000,,3200,3400,mV,,,
,VOLT_TEST,MUX_SEL_TPF405,@VDD_1V8 Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF405_VDD_1V8', 0.2]}",,5000,,1700,1900,mV,,,
,VOLT_TEST,MUX_SEL_TPF404,@VBOOST Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF404_VBOOST', 0.2]}",,5000,,5350,5750,mV,,,
,VOLT_TEST,MUX_SEL_TPF236,@VDD_LED Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1','7000mv','VOLT_MEAS_MUX_SEL_TPF236_VDD_LED', 0.2]}",,5000,,3900,4100,mV,,,

,DUTInfo,READ_INFO,@READ_PCBA_SN,common.run_bmt_cmd,"{'cmd_key':'READ_PCBA_SN', 'cmd_args': [[[scanned_sn]]], 'parse_pattern':'Board SerialNumber=(\w+)'}",[[read_sn]],5000,,,,,,,
,DUTInfo,READ_INFO,@CHECK_DUT_SN,common.compareStr,"[[scanned_sn]]#[[read_sn]]",,5000,,--PASS--,--PASS--,,,,
