Disable,Group,SubTestName,SubSubTestName,Function,Input,Output,Timeout,Policy,LowerLimit,UpperLimit,Units,Condition,StopOnFail,Notes
,Fixture,Info,@Scan_PCBA_SN,common.get_scan_sn,[[scanned_sn]],,5000,,,,,,,
,MES,UOP,@Check_UOP,common.check_uop,[[[scanned_sn]]],,5000,,,,,,Y,MES
,Fixture,RUN_BMT,@GET_BMT_VERSION,common.run_bmt_cmd,"{'cmd_key':'GET_VERSION', 'parse_pattern':'BoseManufacturingTool BMT:\s*(\w+.\w+.\w+-\w+\+\w+)'}",,5000,,5.1.0-1286+e381751,5.1.0-1286+e381751,,,,BMT
,Fixture,reset,resetAll,common.rpc_call,"{'func':'mixdevice.reset', 'args':[]}",,5000,,,,,,,

,DUT_POWER_ON,OUTPUT,@BATTERY_OUTPUT_3V8,common.batteryPowerOn,,,5000,,--PASS--,--PASS--,,,,PSU Module
,DUT_POWER_ON,MEASURE_CURRENT,@Power on current,common.rpc_call,"{'func':'mixdevice.measureCurrentByOdin', 'args':['battery', '500ma']}",,5000,,10,30,mA,,,
,DUT_POWER_ON,delay,@delay2000ms,common.delay,2000,,5000,,--PASS--,--PASS--,,,,
,NRST_RISING,MEASURE,@NRST rising width,common.risingWidth,,,5000,,70,100,mS,,,CoreBoard Module
,VOLTAGE_TEST,delay,@delay2000ms,common.delay,2000,,5000,,--PASS--,--PASS--,,,,
,VOLTAGE_TEST,RELAY_CONNECT,DMM_VIN1_SEL_SW,common.rpc_call,"{'func':'mixdevice.relay', 'args':['DMM_VIN1_SEL_SW']}",,5000,,--PASS--,--PASS--,,,,
,VOLTAGE_TEST,MEASURE,@VBUS Voltage,common.rpc_call,"{'func':'mixdevice.measureVoltageByOdin', 'args':['charger']}",,5000,,4850,5150,mV,,,
,VOLTAGE_TEST,MEASURE,@VCHG_USB Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1', '7000mv', 'VOLT_MEAS_MUX_SEL_TP5_VCHG_USB']}",,5000,,4850,5150,mV,,,DMM Module
,VOLTAGE_TEST,MEASURE,@VBUS_DET Voltage,common.rpc_call,"{'func':'mixdevice.measureByDMM', 'args':['ch1', '7000mv', 'VOLT_MEAS_MUX_SEL_TP52_14_VBUS_DET']}",,5000,,2600,3000,mV,,,DMM Module
